SKU,Images,Meta: bacola_post_views_count,Meta: klb_product_badge_type,Meta: _alg_wc_wholesale_pricing_per_product_enabled,Meta: _alg_wc_wholesale_pricing_discount_type,Meta: _alg_wc_wholesale_pricing_levels_number,Meta: send_coupons_on_renewals,Meta: _klb_single_video_input,Meta: _monsterinsights_sitenote_active,Meta: om_disable_all_campaigns,Image Source URL,Saved Filename,Status
C52677,,7.0,,,,,,,,,,,
EA4ED7,,6.0,,,,,,,,,,,
11B5BE,,7.0,,,,,,,,,,,
7543EF,,4.0,,,,,,,,,,,
22FB1D,,2.0,,,,,,,,,,,
625F87,,5.0,,,,,,,,,,,
453D1E,,7.0,,,,,,,,,,,
42FA56,,47.0,,,,,,,,,,,
49A801,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/Brunswick_Chunky_Mackerel_Tomato_Sauce_425g__60536_zoom.jpg,51.0,type1,no,percent,0.0,no,,0.0,,,,
0A40DD,,5.0,,,,,,,,,,,
7D4F06,,6.0,,,,,,,,,,,
928ECF,,7.0,,,,,,,,,,,
78F09A,,4.0,,,,,,,,,,,
694FF4,,3.0,,,,,,,,,,,
0A66CB,,2.0,,,,,,,,,,,
473288,,9.0,,,,,,,,,,,
0C8C76,,4.0,,,,,,,,,,,
48F850,,3.0,,,,,,,,,,,
5E048D,,0.0,,,,,,,,,,,
4C3C49,,4.0,,,,,,,,,,,
21C7C7,,0.0,,,,,,,,,,,
E2E8DD,,4.0,,,,,,,,,,,
367653,,5.0,,,,,,,,,,,
B2C5A0,,2.0,,,,,,,,,,,
44E6EF,,0.0,,,,,,,,,,,
EEA41D,,4.0,,,,,,,,,,,
F14082,,10.0,,,,,,,,,,,
8253AC,,15.0,,,,,,,,,,,
